,Order,SubjectID,ServerTimestamp,AssignmentID,ProblemID,Attempt,CodeStateID,Score,Code,Between,N Way,2xN,Other,OtherReason
1,9462,f18374bf891c9af64c8570448824202d,02/20/19 11:06 PM,439,234,1,a858fbcb9cfc9ce9382d0ed2ba1d55371a02ed1e,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if(isWeekend)
        	return (cigars >= 40);
    return (cigars >= 40 && cigars <= 60);
}
",0,0,0,0,
2,22001,f18374bf891c9af64c8570448824202d,02/20/19 11:01 PM,439,13,1,fa0c4adf7c92dec60cf3a3986fecea954efa0b5c,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if(isBirthday)
        	speed -= 5;
    if(speed <= 60)
        	return 0;
    else if(speed <= 80)
        	return 1;
    else
        	return 2;
}
",0,0,0,0,
3,36715,f18374bf891c9af64c8570448824202d,02/20/19 11:18 PM,439,12,1,e072ff70879165f39c8cffd34ef8ef650f2359b6,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(isSummer)
        	return (temp >= 60 && temp <= 100);
    	return (temp >= 60 && temp <= 90);
}
",0,0,0,0,
4,38968,f18374bf891c9af64c8570448824202d,02/20/19 11:03 PM,439,232,1,3012e4320d02371bfd6939f2d995390618c63c84,1,"public String alarmClock(int day, boolean vacation)
{
    if(vacation)
    {
        if(day == 0 || day == 6)
            	return ""off"";
        return ""10:00"";
    }
    else
    {
        if(day == 0 || day == 6)
            	return ""10:00"";
        return ""7:00"";
    }
}
",0,0,0,0,
5,59160,f18374bf891c9af64c8570448824202d,02/20/19 11:11 PM,439,233,1,e5455143df14702a2bfa6370cf68b28855687e1f,1,"public boolean love6(int a, int b)
{
    if(a == 6 || b == 6)
        	return true;
    return ((a + b) == 6 || Math.abs(a - b) == 6);
}
",0,0,0,0,
6,64621,f18374bf891c9af64c8570448824202d,02/20/19 11:09 PM,439,5,1,69a0849d80f3294a5f9d134bf8030d0e71ccffc7,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if(isAsleep)
        	return false;
    if(isMom)
        	return true;
    return (!isMorning);
}
",0,0,0,0,
7,67900,f18374bf891c9af64c8570448824202d,02/20/19 11:05 PM,439,235,1,c629c4b7bf3d71e37d37a3d3c9d534e91769becf,1,"public int dateFashion(int you, int date)
{
    if(you <= 2 || date <= 2)
        	return 0;
    if(you >=8 || date >= 8)
        	return 2;
    return 1;
}
",0,0,0,0,
10,75955,f18374bf891c9af64c8570448824202d,02/20/19 11:08 PM,439,236,1,e0a2d62881c5d98aeb065f70ef297ebedc1c5846,1,"public int greenTicket(int a, int b, int c)
{
    if(a == b)
    {
        if(b == c)
            	return 20;
        return 10;
    }
    if(a == c || b == c)
        	return 10;
    return 0;
}
",0,0,0,0,
17,118895,f18374bf891c9af64c8570448824202d,02/20/19 11:12 PM,439,1,1,b9ed9662cef093534b17ebe7ad44a72ae15e20c7,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if(sum >= 10 && sum <= 19)
        	return 20;
    return sum;
}
",0,0,0,0,
20,133300,f18374bf891c9af64c8570448824202d,02/20/19 11:13 PM,439,3,1,2f94ea6836f19b94c16fb75a87485da25153ccae,1,"public boolean in1To10(int n, boolean outsideMode)
{
    if(outsideMode)
        	return (n <= 1 || n>= 10);
    return (n >= 1 && n <= 10);
}
",0,0,0,0,
7,11053,8ea9805479ddb07d9183081b059dd0d2,02/24/19 8:55 PM,439,234,1,f1a70eff019ad340ac70636a12658580c5a6310d,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    boolean success = false;
    
    if (isWeekend)
    {
    	if (cigars >= 40)
        {
        	success = true;
            return success;
        }
        else
        {
        	
            return success;
        }
    }
    else
    {
    	if (cigars >= 40 && cigars <= 60)
        {
        	success = true;
            return success;
        }
        else
        {
        	return success;
        }
    }
}
",0,0,0,0,
15,30029,8ea9805479ddb07d9183081b059dd0d2,02/24/19 8:09 PM,439,13,2,6b593a05ebe93504d8c30817337882aeb37bd21a,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    int value = 0;
    if (speed <= 60)
    {
    	value = 0;
    }
    else if (speed > 60 && speed <= 80)
    {
    	value = 1;
    }
    else
    {
    	value = 2;
    }
}
",0,0,1,0,
18,37602,8ea9805479ddb07d9183081b059dd0d2,02/24/19 9:24 PM,439,12,1,5c2299e300ea753bd04fda5a2ed890e61f4e0a36,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    boolean play = false;
    if (isSummer)
    {
    	if (temp >= 60 && temp <= 100)
        {
        	play = true;
            return play;
        }
        else
        {
        	return play;
        }
    }
    else
    {
    	if (temp >= 60 && temp <= 90)
        {
        	play = true;
            return play;
        }
        else
        {
        	return play;
        }
    }
}
",0,0,0,0,
20,43623,8ea9805479ddb07d9183081b059dd0d2,02/24/19 8:37 PM,439,232,2,15d41fd0d1117876fd0ddc62289b022f375c429e,0,"public String alarmClock(int day, boolean vacation)
{
    String alarmTime = ""7:00"";
    if (vacation)
    {
    	if (day == 0 || day == 6)
        {
        	alarmTime = ""off"";
            return alarmTime;
        }
        else
        {
        	return alarmTime;
        }
    }
    else
    {
    	if (day == 0 || day == 6)
        {
        	alarmTime = ""10:00"";
            return alarmTime;
        }
        else
        {
        	return alarmTime;
        }
    }
}
",0,0,1,0,
36,60650,8ea9805479ddb07d9183081b059dd0d2,02/24/19 9:10 PM,439,233,1,0ff1d48ee027bef1a7cad9726f207e869c2947bf,1,"public boolean love6(int a, int b)
{
    boolean is6 = false;
    if (a == 6 || b == 6)
    {
    	is6 = true;
        return is6;
    }
    else if (((Math.abs(a-b)) == 6) || (a+b == 6))
    {
    	is6 = true;
        return is6;
    }
    else
    {
    	return is6;
    }
}
",0,0,0,0,
38,66201,8ea9805479ddb07d9183081b059dd0d2,02/24/19 9:06 PM,439,5,1,8f6487da0e3bcdeca21d44d08a522d1f2fba6172,0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    boolean answer = false;
    if (isMom && isMorning)
    {
    	answer = true;
        return answer;
    }
    else if (isMorning)
    {
    	return answer;
    }
    else if (isAsleep)
    {
    	return answer;
    }
    else
    {
    	answer = true;
        return answer;
    }
}
",0,1,0,0,
40,69611,8ea9805479ddb07d9183081b059dd0d2,02/24/19 8:46 PM,439,235,1,1b3ef0253db493893d2ee09598450c9127b7edcd,0,"public int dateFashion(int you, int date)
{
    int chances = 0;
    if ((you >= 8 && date > 2) || (date >= 8 && you > 2))
    {
    	chances = 2;
        return chances;
    }
    else if ((you < 8 && date > 2) || (date < 8 && you > 2))
    {
    	chances = 1;
        return chances;
    }
    else
    {
        return chances;
    }
    
}
",0,1,0,0,
60,77705,8ea9805479ddb07d9183081b059dd0d2,02/24/19 9:01 PM,439,236,2,01c55a826babec7de11764d4924fe31a04e56b57,1,"public int greenTicket(int a, int b, int c)
{
    int lotteryWin = 0;
    if ( a != b && b!= c && a!=c)
    {
    	return lotteryWin;
    }
    else if ( a == b && b == c)
    {
    	lotteryWin = 20;
        return lotteryWin;
    }
    else
    {
    	lotteryWin = 10;
        return lotteryWin;
        
    }
}
",0,0,0,0,
158,119968,8ea9805479ddb07d9183081b059dd0d2,02/24/19 9:12 PM,439,1,2,cda4fe51399ec07235153baf1eed5885b91c0ca9,0,"public int sortaSum(int a, int b)
{
    int sum = 20;
    if ((a+b) >= 10 || (a+b) <= 19)
    {
    	return sum;
    }
    else
    {
    	sum = a+b;
        return sum;
    }
}
",1,0,0,0,
176,134910,8ea9805479ddb07d9183081b059dd0d2,02/24/19 9:21 PM,439,3,1,980b62c1d4a242e9656338da51e8b3207eb8939a,0,"public boolean in1To10(int n, boolean outsideMode)
{
    boolean is1to10 = false;
    if (outsideMode)
    {
    	if (n <= 1 || n >= 10)
        {
        	is1to10 = true;
            return true;
        }
        else
        {
        	is1to10 = true;
            return true;
        }
    }
    else
    {
    	if (n <= 1 || n >= 10)
        {
        	return is1to10;
        }
        else
        {
        	is1to10 = true;
            return is1to10;
        }
    }
}
",0,0,1,0,
7,10909,51cdbd2611e844ece5d80878eb770436,02/24/19 8:04 PM,439,234,2,f8c7f3d64170bd00e24d71e195c514fdeb075b0c,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
     if(isWeekend)
        return 40 <= cigars;
          
    return 40 <= cigars && cigars <= 60;
}
}
",0,0,0,1,Brace
11,29869,51cdbd2611e844ece5d80878eb770436,02/24/19 8:00 PM,439,13,15,f2481a7e6210729b0b788c197d86a80c86bd7880,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if(isBirthday) {
        if(speed <= 65) {
            return 0;
        } else if(66 <= speed && speed <= 85) {
            return 1;
        } else if(86 <=  speed) {
            return 2;
        }
    }
                                        
    if(speed <= 60) {
        return 0;
    } else if(61 <= speed && speed <= 80) {
        return 1;
    } else {
        return 2;
    }
}
",0,0,0,0,
12,37507,51cdbd2611e844ece5d80878eb770436,02/24/19 8:13 PM,439,12,2,ab94bab199de85326f12e0757f96f74a297d2dea,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
     if(isSummer && 60 <= temp && temp <= 100)
        return true;
          
    if(!isSummer && 60 <= temp && temp <= 90)
        return true;
                    
    return false;
}
",0,0,0,0,
13,43510,51cdbd2611e844ece5d80878eb770436,02/24/19 8:01 PM,439,232,22,fdcad777561ce4a73bc47837c4e7b5252409ee61,0,"public String alarmClock(int day, boolean vacation)
{
    if(vacation) {
        if(day == 0 || day == 6)
            return ""off"";
        else
            return ""10:00"";
    }
                          
    if(day == 0 || day == 6)
        return ""10:00"";
                                    
    return ""7:00"";
}
}
",0,0,0,1,brace
20,60353,51cdbd2611e844ece5d80878eb770436,02/24/19 8:07 PM,439,233,2,4a3b09e0afc5c6407d6a245c4c2573f059a81a81,1,"public boolean love6(int a, int b)
{
     if(a == 6 || b == 6 || a + b == 6 || Math.abs(a - b) == 6)
        return true;
          
    return false;
}
",0,0,0,0,
21,66045,51cdbd2611e844ece5d80878eb770436,02/24/19 8:06 PM,439,5,2,661a39fcc1fa9168592395b3bc81f6c35aae5739,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if(isAsleep)
        return false;
          
    if(isMorning && !isMom)
        return false;
                    
    return true;
}
",0,0,0,0,
22,69401,51cdbd2611e844ece5d80878eb770436,02/24/19 8:02 PM,439,235,8,f2ec7b0d32a0296127787571df96eaddc9e8f4db,0,"public int dateFashion(int you, int date)
{
      if(you <= 2 || date <= 2)
        return 0;
          
    if(you >= 8 || date >= 8)
        return 2;
                    
    return 1;
}
}
",0,0,0,1,Brace
25,77553,51cdbd2611e844ece5d80878eb770436,02/24/19 8:06 PM,439,236,11,0ab7a757e9d9af049d8dfbcfa1eb95b4efa1707a,1,"public int greenTicket(int a, int b, int c)
{
     if (a == b && b == c)

    return 20;

  if (a == b || a == c || b == c)

    return 10;

  else;

    return 0;

}
",0,0,0,0,
41,119843,51cdbd2611e844ece5d80878eb770436,02/24/19 8:09 PM,439,1,2,6589338fb4093ad8ac325819c889aac1f491e453,1,"public int sortaSum(int a, int b)
{
    if(a+b >=10 && a+b <=19)
    {
        return 20; 
    }
    else
    {
        return a+b; 
    }
    
}
",0,0,0,0,
44,134723,51cdbd2611e844ece5d80878eb770436,02/24/19 8:10 PM,439,3,12,ca05fc9269ecadddafb1656cae892542aa2eb53e,1,"public boolean in1To10(int n, boolean outsideMode)
{if (!outsideMode){

    if (n >= 1 && n <= 10) {

      return true;

    } else {

        return false;

      }

  } else {

      if (n <= 1 || n >= 10) {

        return true;

      } else {

          return false;

        }

    }

    
}
",0,0,0,0,
13,9693,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:11 PM,439,234,1,1936978eba94eda41f655b5ef813bfcaf6383f26,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if(cigars >= 40) {
    	if(cigars > 60 && !isWeekend) {
        	return false;
        } 
        return true;
    }
    return false;
}
",0,0,0,0,
24,24236,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:03 PM,439,13,1,06034316d49bc15ac9970338d4ea1221b201440b,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if(isBirthday) {
    	speed -= 5;
    }
    if(speed <= 60) {
    	return 0;
    } else if(speed <=80) {
    	return 1;
    }
    return 2;
}
",0,0,0,0,
25,36943,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:23 PM,439,12,1,9f537ab34c89651500d0de87fe8f5792fad548d2,0,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(temp <= 60)
        return false;
    temp += !isSummer ? 10 : 0;
    if(temp <= 100)
        return true;
    return false;
}
",1,0,0,0,
27,39853,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:07 PM,439,232,1,8b70c59dfa7cffaab8721551c1458b105d85f998,0,"public String alarmClock(int day, boolean vacation)
{
    if(vaction) {
    	if(day == 0 || day == 6)
            return ""off"";
    } else {
    	if(day > 0 && day < 6) {
        	return ""7:00"";
        }
    }
   	return ""10:00"";
}
",0,0,0,1,variable
40,59451,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:16 PM,439,233,1,7b7bfdc6c196ae19190a674205430c77c898179d,1,"public boolean love6(int a, int b)
{
    if(a == 6 || b == 6)
        return true;
    if(a + b == 6 || Math.abs(a - b) == 6)
        return true;
    return false;
}
",0,0,0,0,
41,65091,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:15 PM,439,5,1,b4137cea23151a2752487a11f8227bf3f9aa219b,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if(isAsleep)
        return false;
    if(isMorning && !isMom)
        return false;
    return true;
}
",0,0,0,0,
42,68304,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:09 PM,439,235,1,b0ffcd1af97d18c150723f448268fb0b546f1360,1,"public int dateFashion(int you, int date)
{
    if(you < 3 || date < 3)
        return 0;
    else if(you > 8 || date > 8)
        return 2;
    return 1;
}
",0,0,0,0,
48,76458,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:13 PM,439,236,1,b61fce578bb6d370c6e8b818e2707716777fb202,1,"public int greenTicket(int a, int b, int c)
{
    if(a == b && b == c)
		return 20;
    else if(a == b || b==c || c == a)
        return 10;
    return 0;
}
",0,0,0,0,
81,119163,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:17 PM,439,1,1,018174d7ecd89011fb3e81e145bb3b4b90672fd7,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if(sum >= 10 && sum < 20)
        sum = 20;
    return sum;
}
",0,0,0,0,
94,133768,e1f9b39289e1893622852cf8de6e14db,02/22/19 6:20 PM,439,3,3,5785e6b0d9eafe729e8125cf4cb1fa44de6caf24,0,"public boolean in1To10(int n, boolean outsideMode)
{
    if(n == 1 || n == 10)
        return true;
    boolean included;
    if(n>1 || n < 10) {
    	return true;
    }
    if(outsideMode)
        included = !included;
        
    return included;
}
",0,0,1,1,Range
7,10023,356fbc3c3158bc7a5932461b635064a2,02/23/19 9:25 PM,439,234,3,ff4e8bd03eaf8a0f83272ca05021418941496730,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    boolean result = false;
    
    if (isWeekend)
    {
    	if (cigars >= 40)
        {
         	result = true;   
        }
    }
    
    else if (cigars >= 40 && cigars <= 60)
    {
     	result = true;   
    }
    
    return result;
}
",0,0,0,0,
30,24516,356fbc3c3158bc7a5932461b635064a2,02/23/19 1:48 AM,439,13,3,e2eedf595366a9ec2938d3862ccaa404702e0a0f,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
	int result = 0;
    if (speed <= 60)
    {
        result = 0;
    }
    
    else if (speed > 60 && speed < 81)
    {
        result = 1;
    }
    
    else if (speed >= 81)
    {
     	result = 2;   
    }
    
    return result;
}
",0,0,1,0,
32,37101,356fbc3c3158bc7a5932461b635064a2,02/23/19 10:54 PM,439,12,5,7828a300a539ba98861aa656615e30be36839850,0,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    boolean result = false;
    
    if (isSummer)
    {
    	if (temp >= 60 && temp >= 100)
        {
         	result = true;   
        }
    }
    
    if (temp >= 60 && temp >= 90)
    {
     	result = true;   
    }
}
",1,0,0,0,
35,39957,356fbc3c3158bc7a5932461b635064a2,02/23/19 2:03 AM,439,232,128,38e16ef93ec3f739fd8b2afb3bfe163ab0b742b1,0,"public String alarmClock(int day, boolean vacation)
{
    String result = """";
    
    if (day > 0 && day < 6)
    {
     	result == ""7:00"";   
    }
    
    
}
",0,0,1,0,
75,59682,356fbc3c3158bc7a5932461b635064a2,02/23/19 10:14 PM,439,233,5,274595324ade78ac58e7e0d6f8c4f42f4a77a319,0,"public boolean love6(int a, int b)
{
    boolean result = false;
    
    if (a + b = 6)
    {
     	result = true;   
    }
    
    else if (a == 6 || b == 6)
    {
     	result = true;   
    }
    
    return result;
}
",0,1,0,1,boolean
88,65367,356fbc3c3158bc7a5932461b635064a2,02/23/19 9:35 PM,439,5,6,45a8cab95a4a7fbf8e7ab513620d0ce0458e7dc4,0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    boolean answer = true;
        
    if (isMorning || isAsleep)
    {
     	answer = false;   
    }
    
    return answer;
}
",0,1,0,0,
104,68649,356fbc3c3158bc7a5932461b635064a2,02/23/19 9:20 PM,439,235,12,39beada6b336539c627c8eff1c807867adfb316a,0,"public int dateFashion(int you, int date)
{
    int result = 1;
    
    if (you >= 8 || date >= 8)
    {
        result = 2;
    }
    
    else if (you <= 2 || date <= 2)
    {
     	result = 0;   
    }
    
    return result;
}
",0,1,0,0,
121,76723,356fbc3c3158bc7a5932461b635064a2,02/23/19 9:33 PM,439,236,5,874faf9e151c39bc9c1a06c1b1dfd52a6dafc680,1,"public int greenTicket(int a, int b, int c)
{
    int result = 10;
    
    if (a == b && b == c && a == c)
    {
     	result = 20;   
    }
    
    else if (a != b && b != c && a != c)
    {
     	result = 0;   
    }
    
    return result;
}
",0,0,0,0,
162,119432,356fbc3c3158bc7a5932461b635064a2,02/23/19 10:27 PM,439,1,2,1c927fa91bc22a2809140534ce42d851ade4faa5,1,"public int sortaSum(int a, int b)
{
    int result = a + b;
    
    if (result >= 10 && result <= 19)
    {
     	result = 20;   
    }
    
    return result;
}
",0,0,0,0,
171,134097,356fbc3c3158bc7a5932461b635064a2,02/23/19 10:30 PM,439,3,3,1c2496f068d6e91513db29269f076d1321ab5834,0,"public boolean in1To10(int n, boolean outsideMode)
{
    boolean result = false;
    
    if (n >= 1 && n <= 10)
    {
     	result = true;	   
    }
    
    else if (outsideMode)
    {
     	if (n <= 1 || n >= 10)
        {
         	result = true;   
        }
    }
    
    return result;
}
",0,0,1,0,
6,9836,4f9ef38edcfc460a00cbb8ed5dee299c,02/23/19 5:44 PM,439,234,1,35484e232724222560fe299f2617438e6734d473,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (isWeekend)
    {
        if (cigars > 39)
        {
            return true;
        }
        else
        {
            return false;
        }
    }
    else
    {
        if (cigars > 39 & cigars < 41)
        {
            return true;
        }
        else 
        {
            return false;
        }
    }
}
",1,0,0,0,
12,24868,4f9ef38edcfc460a00cbb8ed5dee299c,02/23/19 5:21 PM,439,13,3,9464ce63295389c3b1a37c28c65db6aebe7ca37c,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if (isBirthday)
    {
        if (speed < 66)
        {
            int result = 0;
        }
        else if (speed < 86)
        {
            int result = 1;
        }
    	else 
        {
            int result = 2;
        }
    }
    else
    {
        if (speed < 61)
        {
            int result = 0;
        }
        else if (speed < 81)
        {
            int result = 1;
        }
    	else 
        {
            int result = 2;
        }
    }
}
",0,0,0,1,Return
16,37038,4f9ef38edcfc460a00cbb8ed5dee299c,02/23/19 6:15 PM,439,12,1,a3d94a86c7fdfa5c3e6d4f494303d0d04a07db1d,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if (isSummer)
    {
        if (temp > 59 & temp < 101)
        {
            return true;
        }
        else
        {
            return false;
        }
    }
    else
    {
        if (temp > 59 & temp < 91)
        {
            return true;
        }
        else
        {
            return false;
        }
    }
    
}
",0,0,0,0,
18,40140,4f9ef38edcfc460a00cbb8ed5dee299c,02/23/19 5:28 PM,439,232,2,1669eb36f1788ab54939415bc296425a89cf5b15,0,"public String alarmClock(int day, boolean vacation)
{
    if (vacation)
    {
        if (day = 1 || day = 2 || day = 3 || day = 4 || day = 5)
        {
            return ""10:00"";
        }
        else
        {
            return ""off"";
        }
    }
    else
    {
        if (day = 1 || day = 2 || day = 3 || day = 4 || day = 5)
        {
            return ""7:00"";
        }
        else
        {
            return ""10:00"";
        }
    }
}
",0,0,0,1,boolean
30,59556,4f9ef38edcfc460a00cbb8ed5dee299c,02/23/19 5:56 PM,439,233,1,2078b48f3312d3bbc16ae3d275a90b12d9a600e2,0,"public boolean love6(int a, int b)
{
    if (a == 6 | b == 6 | a - b == 6 | a + b = 6)
    {
        return true;
    }
    else
    {
        return false;
    }
        
}
",0,0,0,1,"boolean, abs"
