ProblemID,ProblemDec,Between,N Way,2xN,Hussle in ChatGPT
1,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums in the range 10..19 inclusive, are forbidden, so in that case just return 20.",1,1,,
1001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, when threshold is false, sums are forbidden, so in that case just return 20.",,1,,
2001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, in the case when threshold is false, sums in the range [10,19] inclusive are forbidden, so in that case just return 20. Otherwise when threshold is true, sums in the range (10,19) exclusive are forbidden, so in that case just return 20.",1,,1,
3001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums larger than 10 and smaller than 19 (exclusive) are allowed, and in other cases, just return 20.",1,1,,1
4001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, a or b in the range 10..19 inclusive, are forbidden, so in that case just return 20.",1,1,,
5001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums in the range 10..19 inclusive, are forbidden, so in that case just return 70.",1,1,,
3,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, inclusive. Unless ""outsideMode"" is true, in which case return true if the number is less or equal to 1, or greater or equal to 10.",1,,1,
1003,"Write a function in Java that implements the following logic: Given a number n, return 10 if n is in the range 1..10, inclusive. if n is in the range 11..20 inclusive, return 20, otherwise, return 0.",1,1,,
2003,"Write a function in Java that implements the following logic: Given a boolean n, return true if n is not true, otherwise return false.",,1,,
3003,"Write a function in Java that implements the following logic: Given a boolean n, return true if n is not true. Unless ""outsideMode"" is true, in which case return false if n is not true.",,1,,1
4003,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, inclusive. Unless ""insideMode"" is false, in which case return true if the number is less or equal to 1, or greater or equal to 10.",1,,1,
5003,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, exclusive. Unless ""outsideMode"" is true, in which case return true if the number is less than 1, or greater than 10.",1,,1,
5,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.",,1,,
1005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning when clock is in the range of [5,10], inclusive, you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.",1,1,,
2005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except when clock is in the range of [5,10], inclusive, you only answer if it is your mom calling. If you are asleep, you do not answer unless it is afternoon when the clock is in the range of [13,18].",1,,1,
3005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, but if you are asleep, you do not answer.",,1,,
4005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you don't answer. In all cases, if you are asleep, you do not answer.",,1,,
5005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. If you are asleep, you do not answer unless it is urgent.",,1,,
12,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is between 60 and 90 (inclusive). Unless it is summer, then the upper limit is 100 instead of 90. Given an int temperature and a boolean isSummer, return true if the squirrels play and false otherwise.",1,,1,
1012,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is between 60 and 89 (inclusive), and they party if the temperature is between 90 and 99 (inclusive). Given an int temperature return 1 if the squirrels play, return 2 if the squirrels party, and 0 otherwise.",1,1,,
2012,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if they are happy. Unless it is summer, then they play in any cases. Given a boolean isHappy and a boolean isSummer, return true if the squirrels play and false otherwise.",,1,,
3012,"Only reply Java code without explanations: Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is above 60 and below 90. Unless it is summer, then the upper limit is 100 instead of 90. Given an int temperature and a boolean isSummer, return true if the squirrels play and false otherwise. ",1,,1,1
4012,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is between 60 and 90 (inclusive). Unless it is summer, then the upper limit is 100 instead of 90 and there is no lower limit. Given an int temperature and a boolean isSummer, return true if the squirrels play and false otherwise.",1,,1,1
5012,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is lower than 90. Unless it is summer, then the upper limit is 100 instead of 90. Given an int temperature and a boolean isSummer, return true if the squirrels play and false otherwise.",1,,1,1
13,"Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=small ticket, or 2=big ticket. If speed is 60 or less, the result is 0. If speed is between 61 and 80 inclusive, the result is 1. If speed is 81 or more, the result is 2. Unless it is your birthday--on that day, your speed can be 5 higher in all cases.",1,,1,
1013,"Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=small ticket, or 2=big ticket. If speed is 60 or less, the result is 0. If speed is between 61 and 80 inclusive, the result is 1. If speed is 81 or more, the result is 2. ",1,1,,
2013,"Write a function in Java that implements the following logic: Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=small ticket, or 2=big ticket. If speed level is 1, the result is 0. If speed level is 2, the result is 1. If speed level is 3, the result is 2.",,1,,1
3013,"Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=ticket. If speed is 60 or less, the result is 0. If speed is 61 or more, the result is 1. Unless it is your birthday--on that day, your speed can be 5 higher in all cases.",1,,1,
4013,"Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=small ticket, or 2=big ticket. If speed is 60 or less, the result is 0. If speed is between 61 and 80 inclusive, the result is 1. If speed is 81 or more, the result is 2. Unless it is your birthday--on that day, you will not get any ticket whatever your speed is.",1,,1,1
5013,"Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as a boolean value: false=no ticket, true=ticket. If speed is 60 or less, the result is false. If speed is 61 or more, the result is true. Unless it is your birthday--on that day, your speed can be 5 higher in all cases.",1,,1,
232,"Given a day of the week encoded as 0 = Sun, 1 = Mon, 2 = Tue, ... 6 = Sat, and a boolean indicating if we are on vacation, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""10:00"". Unless we are on vacation--then on weekdays it should be ""10:00"" and weekends it should be ""off"".",1,,1,
1232,"Given a day of the week encoded as 0 = Sun, 1 = Mon, 2 = Tue, ... 6 = Sat, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""10:00"".",1,1,,
2232,"Given a boolean indicating if it is weekday, and a boolean indicating if we are on vacation, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""10:00"". Unless we are on vacation--then it should be ""off"".",,1,,
3232,"Given a day of the week encoded as 1 = Mon, 2 = Tue, ... 6 = Sat, 7 = Sun,  and a boolean indicating if we are on vacation, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""10:00"". Unless we are on vacation--then on weekdays it should be ""10:00"" and weekends it should be ""off"".",1,,1,
4232,"Given a day of the week encoded as 0 = Sun, 1 = Mon, 2 = Tue, ... 6 = Sat, and a boolean indicating if we are on vacation, return a number indicating when the alarm clock should ring. Weekdays, the alarm should be 7 and on the weekend it should be 10. Unless we are on vacation--then on weekdays it should be 10 and weekends it should be 12.",1,,1,
5232,"Given a day of the week encoded as 0 = Sun, 1 = Mon, 2 = Tue, ... 6 = Sat, and a boolean indicating if we are on vacation, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""12:00"". Unless we are on vacation--then on weekdays it should be ""12:00"" and weekends it should be ""off"".",1,,1,
233,"The number 6 is a truly great number. Given two int values, a and b, return true if either one is 6. Or if their sum or difference is 6. Note: the function Math.abs(num) computes the absolute value of a number.",,1,,
1233,"The numbers [5,10] are truly great numbers. Given two int values, a and b, return true if either one is in the range [5,10] inclusive. Or if their sum or difference is in the range [5,10] inclusive. Note: the function Math.abs(num) computes the absolute value of a number.",1,1,,
2233,"The numbers in the range [5,10] inclusive are truly great numbers if you are team red, but if you are team blue, the numbers in the range [1,5] inclusive are great numbers. Given two int values, a and b, and a boolean variable teamRed indicating if you are team read, return true if either one is a great number. Or if their sum or difference is a great number. Note: the function Math.abs(num) computes the absolute value of a number.",1,,1,
3233,"The number 7 is a truly great number. Given two int values, a and b, return true if either one is 7. Or if their sum or difference is 7. Note: the function Math.abs(num) computes the absolute value of a number.",,1,,
4233,"The number 6 is a truly great number. Given two int values, a and b, return true if either one is 6. Or if their sum is 6. ",,1,,
5233,"The number 6 is a truly great number. Given an int value, a, return true if a is 6. Or if it is a multiplication of 6. ",,1,,
234,"When squirrels get together for a party, they like to have cigars. A squirrel party is successful when the number of cigars is between 40 and 60, inclusive. Unless it is the weekend, in which case there is no upper bound on the number of cigars. Return true if the party with the given values is successful, or false otherwise.",1,,1,
1234,"When squirrels get together for a party, they like to have cigars. A squirrel party is successful when the number of cigars is between 40 and 60, inclusive. If it is the weekend, the party is successful no matter what the number of cigars is. Return true if the party with the given values is successful, or false otherwise.",1,1,,
2234,"When squirrels get together for a party, they like to have cigars. A squirrel party is successful when the number of cigars equals to 40. If it is the weekend, the party is successful no matter what the number of cigars is. Return true if the party with the given values is successful, or false otherwise.",,1,,1
3234,"When squirrels get together for a party, they like to have cigars. A squirrel party is successful when the number of cigars is between 40 and 60, inclusive. Unless it is the weekend, in which case there is the upper bound is 70. Return true if the party with the given values is successful, or false otherwise.",1,,1,
4234,"When squirrels get together for a party, they like to have cigars. A squirrel party is successful when the number of cigars is between 40 and 60, exclusive (not including 40 and 60). Unless it is the weekend, in which case there is no upper bound on the number of cigars. Return true if the party with the given values is successful, or false otherwise.",1,,1,1
5234,"When squirrels get together for a party, they like to have cigars. A squirrel party is successful when the number of cigars is between 20 and 50, inclusive. Unless it is the weekend, in which case there is no upper bound on the number of cigars. Return true if the party with the given values is successful, or false otherwise.",1,,1,
235,"You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is the stylishness of your date's clothes. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If either of you is very stylish, 8 or more, then the result is 2 (yes). With the exception that if either of you has style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).",,1,,
1235,"You are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If you are very stylish, 8 or more, then the result is 2 (yes). With the exception that if you have a style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).",1,1,,
2235,"You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is a boolean showing the stylishness of your date's clothes, with true = stylish. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If your date is stylish, then the result is 2 (yes) when you have a style of 6 or more, otherwise the result is 1. If your date is not stylish,  then the result is 0 (no) when you have a style of 2 or less, otherwise the result is 1 (maybe).",1,,1,
3235,"You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is the stylishness of your date's clothes. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If either of you is very stylish, 8 or more, then the result is 2 (yes) even if either of you have a style of 2 or less. If the two of you both have style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).",,1,,1
4235,"You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is the stylishness of your date's clothes. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If both of you are very stylish, 8 or more, then the result is 2 (yes). If either of you has style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).",,1,,1
5235,"You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is the stylishness of your date's clothes. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If either of you is very stylish, more than 8 (not including 8), then the result is 2 (yes). With the exception that if either of you has style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).",,1,,1
236,"You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.",,1,,
1236,"You have a green lottery ticket, with ints a, b, and c on it. If the numbers are smaller or equal to 20, the result is 0. If all of the numbers are larger than 20, the result is 20. If one or two of the numbers are larger than 20, the result is 10.",1,1,,1
2236,"You have a green lottery ticket, with ints a, b, and c on it. It also has a mode variable open, indicating whether the lottery is in the open mode. In open mode, if the numbers are all different from each other, the result is 0. if all of the numbers are the same, the result is 20. if two of the numbers are the same, the result is 10. If it is not open mode, then all three numbers need to be the same to have a result 40, but otherwise the result is 0.",1,,1,
3236,"You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 10. If two of the numbers are the same, the result is 5.",,1,,
4236,"You have a green lottery ticket, with ints a, b, and c on it. If all of the numbers are the same, the result is 20. If a and b are the same, the result is 10. Otherwise, the result is 0.",,1,,1
5236,"You have a green lottery ticket, with ints a, b, and c on it. If a and b are the same, the result is 10. If b and c are the same, the result is 20. If all of the numbers are the same, the result is 30. Otherwise, the result is 0. ",,1,,1